name,lat,lng
AMK-0004,1.372584,103.848954
AMK-0005,1.372393,103.854278
AMK-0007,1.369819,103.855844
AMK-0008,1.3699,103.857814
AMK-0009,1.363998,103.848249
AMK-000A,1.362754,103.855563
AMK-000B,1.36632,103.845109
AMK-000C,1.368777,103.85771
AMK-000D,1.36447,103.853877
AMK-000E,1.366623,103.841816
AMK-000F,1.380943,103.840707
AMK-0010,1.367244,103.840236
AMK-0011,1.377584,103.84077
AMK-0012,1.372254,103.846897
AMK-0013,1.379451,103.843817
AMK-0014,1.36923,103.841898
AMK-0015,1.370887,103.834916
AMK-0017,1.39127,103.856357
AMK-0019,1.373552,103.828702
AMK-001A,1.372354,103.828438
AMK-001B,1.369626,103.828638
AMK-001C,1.37726,103.846151
AMK-001E,1.380311,103.832457
AMK-001F,1.378773,103.829328
AMK-0020,1.380607,103.832187
AMK-0021,1.385675,103.838655
AMK-0022,1.391809,103.855895
AMK-0023,1.39207,103.849002
AMK-0024,1.379603,103.827629
AMK-0025,1.357453,103.854584
AMK-0027,1.369486,103.856043
AMK-0028,1.376143,103.850091
AMK-0029,1.381287,103.840953
AMK-002A,1.376978,103.837657
AMK-002B,1.37701,103.828207
AMK-002C,1.363529,103.848039
AMK-002D,1.381443,103.839308
AMK-002F,1.367884,103.831672
AMK-0031,1.374639,103.844751
AMK-0032,1.376223,103.853484
AMK-0034,1.36514,103.852208
AMK-0035,1.360906,103.853006
AMK-0036,1.360386,103.852655
AMK-0037,1.37031,103.839876
AMK-0038,1.370694,103.839412
AMK-0039,1.370996,103.839682
AMK-003A,1.371622,103.839211
AMK-003B,1.372175,103.837957
AMK-003C,1.37193,103.837595
AMK-003D,1.37009,103.837773
AMK-003E,1.370422,103.837311
AMK-003F,1.370829,103.837254
AMK-0040,1.371285,103.835509
AMK-0041,1.371832,103.835701
AMK-0042,1.372928,103.836707
AMK-0043,1.373218,103.836729
AMK-0044,1.373678,103.835568
AMK-0045,1.373142,103.835855
AMK-0046,1.369924,103.841689
AMK-0047,1.370295,103.842299
AMK-0048,1.371074,103.841339
AMK-0049,1.371515,103.84128
AMK-004A,1.371928,103.842238
AMK-004B,1.376523,103.840447
AMK-004C,1.37624,103.841851
AMK-004D,1.376148,103.84104
AMK-004E,1.375611,103.83953
AMK-004F,1.373927,103.837014
AMK-0050,1.37439,103.835932
AMK-0051,1.374949,103.836325
AMK-0052,1.375224,103.836754
AMK-0053,1.375455,103.837894
AMK-0054,1.375895,103.83667
AMK-0055,1.376054,103.836291
AMK-0056,1.375988,103.837609
AMK-0057,1.376427,103.836698
AMK-0058,1.376803,103.836118
AMK-0059,1.376664,103.83809
AMK-005A,1.376608,103.837403
AMK-005B,1.377368,103.836392
AMK-005C,1.36763,103.834896
AMK-005D,1.369787,103.834444
AMK-005E,1.369949,103.834129
AMK-005F,1.370164,103.834822
AMK-0060,1.370706,103.834433
AMK-0061,1.370526,103.835681
AMK-0062,1.370084,103.8355
AMK-0063,1.370086,103.836347
AMK-0064,1.368474,103.831686
AMK-0065,1.371481,103.838211
AMK-0066,1.38409,103.844656
AMK-0067,1.368742,103.851572
AMK-0068,1.368995,103.851067
AMK-0069,1.369068,103.851391
AMK-006A,1.369443,103.852865
AMK-006C,1.368971,103.854288
AMK-006D,1.369068,103.85336
AMK-006E,1.367761,103.854176
AMK-006F,1.367414,103.853854
AMK-0070,1.366889,103.854139
AMK-0071,1.36626,103.85357
AMK-0072,1.366044,103.854282
AMK-0073,1.366971,103.855597
AMK-0074,1.375782,103.849924
AMK-0075,1.374859,103.84925
AMK-0076,1.374452,103.849045
AMK-0077,1.373785,103.848978
AMK-0078,1.373414,103.849183
AMK-0079,1.373579,103.849893
AMK-007A,1.372968,103.850403
AMK-007B,1.373665,103.851484
AMK-007C,1.373159,103.851828
AMK-007D,1.37295,103.853062
AMK-007E,1.373344,103.85315
AMK-007F,1.37517,103.85312
AMK-0080,1.370207,103.855296
AMK-0081,1.370212,103.856159
AMK-0082,1.370554,103.854884
